R0002,Guides,Youtube.com/changed,Video
R0003,Sheet Music,https://example.com/clair-de-lune-score,Primary score.
R0004,Recording,https://example.com/clair-de-lune-recording,Reference recording for phrasing.
R0005,Sheet Music,https://example.com/invention-no-8-score,Practice score.
R0006,Sheet Music,https://example.com/sonatina-c-major-score,Main practice score.
R0007,Guides,https://example.com/sonatina-technique-guide,Technical practice guide.
R0008,Sheet Music,https://example.com/fur-elise-score,Main score.
R0009,Recording,https://example.com/fur-elise-recording,Reference performance.
R0010,Sheet Music,https://example.com/prelude-c-major-score,Practice score.
R0011,Sheet Music,https://example.com/arabesque-score,Main score.
R0012,Recording,https://example.com/arabesque-recording,Reference performance.
R0013,Sheet Music,https://example.com/etude-op10-no5-score,Main practice score.
R0014,Guides,https://example.com/etude-practice-guide,Technical practice material.
R0015,Sheet Music,https://example.com/entertainer-score,Main score.
R0016,Recording,https://example.com/gymnopedie-recording,Reference performance.
R0017,Sheet Music,https://example.com/sonata-k331-score,Main score.
R0018,Guides,https://example.com/sonata-k331-guide,Guide to ornamentation.
R0019,Sheet Music,https://example.com/prelude-op28-no4-score,Main score.
R0020,Sheet Music,https://example.com/sight-reading-exercise-1,Reading exercise.
R0021,Guides,https://example.com/sight-reading-guide,General sight reading guide.
R0000,Recording,http://implsd,Just some notes
R0022,Sheet Music,musescore.com,free sheet music
R0001,Sheet Music,musescore.com,Notes
R0023,Others,youtube.com,notes
